Dimension.AD_EXCHANGE_DFP_AD_UNIT,Dimension.AD_EXCHANGE_SITE_NAME,Dimension.AD_EXCHANGE_DATE,Dimension.AD_EXCHANGE_INVENTORY_SIZE,Column.AD_EXCHANGE_AD_REQUESTS,Column.AD_EXCHANGE_CLICKS,Column.AD_EXCHANGE_ESTIMATED_REVENUE,Column.AD_EXCHANGE_IMPRESSIONS,Column.AD_EXCHANGE_AD_ECPM,Column.AD_EXCHANGE_CTR
(No inventory unit),fn.aviso.ua,2021-09-07,0x0,2,0,0,0,0,0.0000
(No inventory unit),fn.ua,2021-09-07,0x0,48,0,0,0,0,0.0000
(No inventory unit),ftr.wot-news.com,2021-09-07,0x0,17,0,0,0,0,0.0000
(No inventory unit),gorod.dp.ua,2021-09-07,0x0,5,0,0,0,0,0.0000
(No inventory unit),oren.aif.ru,2021-09-07,0x0,1,0,0,0,0,0.0000
(No inventory unit),perm.aif.ru,2021-09-07,0x0,3,0,0,0,0,0.0000
(No inventory unit),pressorg24.com,2021-09-07,0x0,3,0,0,0,0,0.0000
(No inventory unit),tmn.aif.ru,2021-09-07,0x0,1,0,0,0,0,0.0000
(No inventory unit),www.breadsalt.ru,2021-09-07,0x0,128,0,0,0,0,0.0000
(unknown),chel.aif.ru,2021-09-07,240x400,14,0,0,0,0,0.0000
(unknown),fn.aviso.ua,2021-09-07,720x90,1,0,0,0,0,0.0000
(unknown),fn.aviso.ua,2021-09-07,728x90,1,0,0,0,0,0.0000
(unknown),fn.ua,2021-09-07,525x90,1413,0,0,0,0,0.0000
(unknown),fn.ua,2021-09-07,719x90,1,0,0,0,0,0.0000
(unknown),fn.ua,2021-09-07,720x90,31,0,0,0,0,0.0000
(unknown),fn.ua,2021-09-07,728x90,22,0,0,0,0,0.0000
(unknown),hab.aif.ru,2021-09-07,240x400,2,0,0,0,0,0.0000
(unknown),ipress.ua,2021-09-07,300x250,1,0,0,0,0,0.0000
(unknown),kino-teatr.ua,2021-09-07,300x250,60,0,0,0,0,0.0000
(unknown),kino-teatr.ua,2021-09-07,728x90,145,0,0,0,0,0.0000
(unknown),krsk.aif.ru,2021-09-07,240x400,26,0,0,0,0,0.0000
(unknown),kuzbass.aif.ru,2021-09-07,240x400,19,0,0,0,0,0.0000
(unknown),n1.fn.ua,2021-09-07,728x90,1,0,0,0,0,0.0000
(unknown),omsk.aif.ru,2021-09-07,240x400,4,0,0,0,0,0.0000
(unknown),oren.aif.ru,2021-09-07,240x400,9,0,0,0,0,0.0000
(unknown),perm.aif.ru,2021-09-07,240x400,11,0,0,0,0,0.0000
(unknown),pressorg24.com,2021-09-07,124x250,4,0,0,0,0,0.0000
(unknown),pressorg24.com,2021-09-07,208x250,1,0,11,1,11200,0.0000
(unknown),pressorg24.com,2021-09-07,249x250,1,0,0,0,0,0.0000
(unknown),pressorg24.com,2021-09-07,264x250,1,0,0,0,0,0.0000
(unknown),pressorg24.com,2021-09-07,280x250,1,0,0,0,0,0.0000
(unknown),pressorg24.com,2021-09-07,288x250,19,0,230,6,38400,0.0000
